"cell_type","replicate","stim_type","stim_level","stim_unit","time","merged_nuclei","nuclearity","response"
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5311
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.0656
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8084
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2854
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5245
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3163
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1809
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5711
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.316
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7058
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.527
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5638
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5063
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5011
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5306
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5585
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4995
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5225
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.6583
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.946
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5072
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1772
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3434
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6422
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.287
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.658
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2541
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1504
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.711
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2405
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3219
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6578
